Company,Title,Country,City,Region Tier,Category,Employment Type,Duration,Expected Start,Expected End,Application Status,Application Deadline,Link,Source,External ID,Date Posted,Last Verified,Undergrad Eligible,Foreign University Eligible,International Eligible,Work Auth Required,Visa Sponsorship,Local Language Required,English Environment,Visa Category,Visa Explanation,Visa Route,Visa Evidence,Paid,Compensation,Currency,Housing,Relocation,Match Score,Score Breakdown,Why It Fits,Barriers,Bucket,Status,Notes,Date Applied,Interview Date,Offer Status,Follow-up Date
The Exploration Company,GNC Software Intern,Germany,Munich,2,Software Engineering,Intern,,2027-05,2027-08,Open (cycle unconfirmed),,https://jobs.ashbyhq.com/the-exploration-company/88861ad4-8273-4e58-a4fe-ad3957cac3e2,ashby:the-exploration-company,88861ad4-8273-4e58-a4fe-ad3957cac3e2,2026-08-13,2026-09-08,Unclear,Unclear,Yes,No,Yes,Unclear,Unclear,A,offers relocation support,Internship visa for students enrolled abroad; recognised for degree-relevant placements,"n, age, marital status or disability status. Relocation assistance is provided for those willing to relocate in",Not publicly disclosed,,,Unclear,Yes,84,role 25; visa 25; pay 10; company 7; eligibility 10; location 7,Software Engineering role in Germany; employer states international support,compensation not publicly disclosed; English working environment unconfirmed; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Not Applied,,,,,
Schonfeld,Quantitative Research / Developer - Intern,Hong Kong,,3,Quantitative Technology,Internship,6 months,2027-05,2027-08,Open (cycle unconfirmed),,https://job-boards.greenhouse.io/schonfeld/jobs/7185553,greenhouse:schonfeld,7185553,2025-08-22,2026-09-08,Unclear,Unclear,Yes,No,Yes,Unclear,Unclear,A,offers relocation support,,.</li> <li>Willing to be based in Hong Kong (relocation support provided if needed).&nbsp;</li> </ul> <p>&nb,Not publicly disclosed,,,Unclear,Yes,76,role 21; visa 25; pay 10; company 7; eligibility 10; location 3,Quantitative Technology role in Hong Kong; employer states international support,compensation not publicly disclosed; English working environment unconfirmed; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Not Applied,,,,,
GE Vernova,Services Operations Analytics Intern,China,Shanghai,3,Data Science,Full time,6 Months,2027-05,2027-08,Closed,,https://gevernova.wd5.myworkdayjobs.com/only_confidential_executive_recruiting/job/Shanghai/Services-Operations-Analytics-Intern_R5051502-3,workday:gevernova,R5051502,,2026-09-07,Unclear,Unclear,Yes,No,Yes,Unclear,Unclear,A,offers relocation support,,期 • 精通英语&#xff0c;听说读写。 Additional Information Relocation Assistance Provided: No,Not publicly disclosed,,,Unclear,Yes,71,role 20; visa 25; pay 10; company 7; eligibility 6; location 3,Data Science role in China; employer states international support,compensation not publicly disclosed; English working environment unconfirmed; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Closed,No longer listed on the company board,,,,
IMC,Machine Learning Research Intern - Summer 2027 - Sydney,Australia,Sydney,1,Machine Learning / AI,Internship,10-12 weeks,2027-05,2027-08,Open,,https://job-boards.eu.greenhouse.io/imc/jobs/4956547101,greenhouse:imc,4956547101,2026-08-24,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Subclass 407 Training visa for occupational training,,Yes,,,Yes,Unclear,89,role 25; visa 14; pay 15; company 15; eligibility 10; location 10,Machine Learning / AI role in Australia; visa route exists (Subclass 407 Training visa for occupational training); paid; explicitly Summer 2027,work authorization unstated - confirm before investing time,👀 Investigate Further,Not Applied,,,,,
IMC,Software Engineer Intern,Netherlands,Amsterdam,2,Software Engineering,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://job-boards.eu.greenhouse.io/imc/jobs/4667854101,greenhouse:imc,4667854101,2026-05-07,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,B,no work-authorization statement found; eligibility must be confirmed,Intern residence permit sponsored by a recognised employer,,Yes,,,Yes,Unclear,87,role 25; visa 14; pay 15; company 15; eligibility 10; location 8,Software Engineering role in Netherlands; visa route exists (Intern residence permit sponsored by a recognised employer); paid,work authorization unstated - confirm before investing time; English working environment unconfirmed; not confirmed as a Summer 2027 posting,👀 Investigate Further,Not Applied,,,,,
Jump Trading,Campus C++ Software Engineer (Intern),Singapore,,1,Software Engineering,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=8027946,greenhouse:jumptrading,8027946,2026-08-03,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Training Employment Pass or Work Holiday Pass,,Not publicly disclosed,,,Unclear,Unclear,84,role 25; visa 14; pay 10; company 15; eligibility 10; location 10,Software Engineering role in Singapore; visa route exists (Training Employment Pass or Work Holiday Pass),work authorization unstated - confirm before investing time; compensation not publicly disclosed; not confirmed as a Summer 2027 posting,👀 Investigate Further,Not Applied,,,,,
Jump Trading,Campus Python Software Engineer (Intern),Singapore,,1,Software Engineering,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=8027955,greenhouse:jumptrading,8027955,2026-08-03,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Training Employment Pass or Work Holiday Pass,,Not publicly disclosed,,,Unclear,Unclear,84,role 25; visa 14; pay 10; company 15; eligibility 10; location 10,Software Engineering role in Singapore; visa route exists (Training Employment Pass or Work Holiday Pass),work authorization unstated - confirm before investing time; compensation not publicly disclosed; not confirmed as a Summer 2027 posting,👀 Investigate Further,Not Applied,,,,,
PIMCO,"2027 Summer Intern - Technology Analyst, Software Engineering, EMEA",United Kingdom,London,1,Software Engineering,Full time,10 weeks,2027-05,2027-08,Open,,https://pimco.wd1.myworkdayjobs.com/pimco-careers/job/London-GBR/XMLNAME-2027-Summer-Intern---Technology-Analyst--Software-Engineering--EMEA_R106800,workday:pimco,R106800,,2026-09-08,Yes,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Government Authorised Exchange (Tier 5 / GAE) covers student internships,,Yes,,,Yes,Yes,84,role 25; visa 14; pay 15; company 15; eligibility 6; location 9,Software Engineering role in United Kingdom; visa route exists (Government Authorised Exchange (Tier 5 / GAE) covers student internships); paid; explicitly Summer 2027,work authorization unstated - confirm before investing time,👀 Investigate Further,Not Applied,,,,,
Squarepoint Capital,Intern Software Developer - Singapore - 2027,Singapore,,1,Software Engineering,Internship,12 weeks,2027-05,2027-08,Open,,https://www.squarepoint-capital.com/open-opportunities?id=6201998&gh_jid=6201998,greenhouse:squarepointcapital,6201998,2024-08-28,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Training Employment Pass or Work Holiday Pass,,Not publicly disclosed,,,Unclear,Unclear,84,role 25; visa 14; pay 10; company 15; eligibility 10; location 10,Software Engineering role in Singapore; visa route exists (Training Employment Pass or Work Holiday Pass); explicitly Summer 2027,work authorization unstated - confirm before investing time; compensation not publicly disclosed,👀 Investigate Further,Not Applied,,,,,
Stripe,"Software Engineer, Intern",Singapore,,1,Software Engineering,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://stripe.com/jobs/search?gh_jid=8130883,greenhouse:stripe,8130883,2026-09-07,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Training Employment Pass or Work Holiday Pass,,Not publicly disclosed,,,Unclear,Unclear,84,role 25; visa 14; pay 10; company 15; eligibility 10; location 10,Software Engineering role in Singapore; visa route exists (Training Employment Pass or Work Holiday Pass),work authorization unstated - confirm before investing time; compensation not publicly disclosed; not confirmed as a Summer 2027 posting,👀 Investigate Further,Not Applied,,,,,
Cohere,Software Engineer Intern (Winter 2027),Canada,,1,Software Engineering,Intern,3-6 months,2027-05,2027-08,Open,,https://jobs.ashbyhq.com/cohere/8c035d3d-081d-4c8a-914a-72f4efaad254,ashby:cohere,8c035d3d-081d-4c8a-914a-72f4efaad254,2026-05-01,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Co-op / internship work permit; often needs the placement to be degree-required,,Yes,,,Yes,Unclear,83,role 25; visa 14; pay 15; company 11; eligibility 10; location 8,Software Engineering role in Canada; visa route exists (Co-op / internship work permit); paid; explicitly Summer 2027,work authorization unstated - confirm before investing time,👀 Investigate Further,Not Applied,,,,,
Cohere,Machine Learning Intern/Co-op  (Winter 2027),Canada,,1,Machine Learning / AI,Intern,3-6 months,2027-05,2027-08,Open,,https://jobs.ashbyhq.com/cohere/36d1f52f-8270-4652-adf5-5303a0ff341b,ashby:cohere,36d1f52f-8270-4652-adf5-5303a0ff341b,2026-05-13,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Co-op / internship work permit; often needs the placement to be degree-required,,Yes,,,Yes,Unclear,83,role 25; visa 14; pay 15; company 11; eligibility 10; location 8,Machine Learning / AI role in Canada; visa route exists (Co-op / internship work permit); paid; explicitly Summer 2027,work authorization unstated - confirm before investing time,👀 Investigate Further,Not Applied,,,,,
Squarepoint Capital,Intern Software Developer - London - 2027,United Kingdom,London,1,Software Engineering,Internship,12 weeks,2027-05,2027-08,Open,,https://www.squarepoint-capital.com/open-opportunities?id=7231006&gh_jid=7231006,greenhouse:squarepointcapital,7231006,2025-09-05,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Government Authorised Exchange (Tier 5 / GAE) covers student internships,,Not publicly disclosed,,,Unclear,Unclear,83,role 25; visa 14; pay 10; company 15; eligibility 10; location 9,Software Engineering role in United Kingdom; visa route exists (Government Authorised Exchange (Tier 5 / GAE) covers student internships); explicitly Summer 2027,work authorization unstated - confirm before investing time; compensation not publicly disclosed,👀 Investigate Further,Not Applied,,,,,
Stripe,"Software Engineer, Intern",United Kingdom,London,1,Software Engineering,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://stripe.com/jobs/search?gh_jid=8130867,greenhouse:stripe,8130867,2026-08-31,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Government Authorised Exchange (Tier 5 / GAE) covers student internships,,Not publicly disclosed,,,Unclear,Unclear,83,role 25; visa 14; pay 10; company 15; eligibility 10; location 9,Software Engineering role in United Kingdom; visa route exists (Government Authorised Exchange (Tier 5 / GAE) covers student internships),work authorization unstated - confirm before investing time; compensation not publicly disclosed; not confirmed as a Summer 2027 posting,👀 Investigate Further,Not Applied,,,,,
Stripe,"Software Engineer, Intern (Summer or Winter)",Ireland,Dublin,1,Software Engineering,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://stripe.com/jobs/search?gh_jid=8097801,greenhouse:stripe,8097801,2026-08-17,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Atypical Working Scheme covers short internships for non-EEA students,,Not publicly disclosed,,,Unclear,Unclear,83,role 25; visa 14; pay 10; company 15; eligibility 10; location 9,Software Engineering role in Ireland; visa route exists (Atypical Working Scheme covers short internships for non-EEA students),work authorization unstated - confirm before investing time; compensation not publicly disclosed; not confirmed as a Summer 2027 posting,👀 Investigate Further,Not Applied,,,,,
IMC,"C++ Software Engineer, Early Careers",Netherlands,Amsterdam,2,Software Engineering,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://job-boards.eu.greenhouse.io/imc/jobs/4945420101,greenhouse:imc,4945420101,2026-08-05,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,B,no work-authorization statement found; eligibility must be confirmed,Intern residence permit sponsored by a recognised employer,,Not publicly disclosed,,,Unclear,Unclear,82,role 25; visa 14; pay 10; company 15; eligibility 10; location 8,Software Engineering role in Netherlands; visa route exists (Intern residence permit sponsored by a recognised employer),work authorization unstated - confirm before investing time; compensation not publicly disclosed; English working environment unconfirmed; not confirmed as a Summer 2027 posting,👀 Investigate Further,Not Applied,,,,,
Squarepoint Capital,Intern Software Developer - Montreal - 2027,Canada,Montreal,1,Software Engineering,Internship,12 weeks,2027-05,2027-08,Open,,https://www.squarepoint-capital.com/open-opportunities?id=7905463&gh_jid=7905463,greenhouse:squarepointcapital,7905463,2026-05-07,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Co-op / internship work permit; often needs the placement to be degree-required,,Not publicly disclosed,,,Unclear,Unclear,82,role 25; visa 14; pay 10; company 15; eligibility 10; location 8,Software Engineering role in Canada; visa route exists (Co-op / internship work permit); explicitly Summer 2027,work authorization unstated - confirm before investing time; compensation not publicly disclosed,👀 Investigate Further,Not Applied,,,,,
Stripe,"Software Engineer, Intern (Summer or Winter)",Canada,Toronto,1,Software Engineering,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://stripe.com/jobs/search?gh_jid=8130805,greenhouse:stripe,8130805,2026-08-31,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Co-op / internship work permit; often needs the placement to be degree-required,,Not publicly disclosed,,,Unclear,Unclear,82,role 25; visa 14; pay 10; company 15; eligibility 10; location 8,Software Engineering role in Canada; visa route exists (Co-op / internship work permit),work authorization unstated - confirm before investing time; compensation not publicly disclosed; not confirmed as a Summer 2027 posting,👀 Investigate Further,Not Applied,,,,,
Jump Trading,Campus Systems Engineer (Intern),Singapore,,1,Cloud / DevOps / Infrastructure,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=8027952,greenhouse:jumptrading,8027952,2026-08-03,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Training Employment Pass or Work Holiday Pass,,Not publicly disclosed,,,Unclear,Unclear,81,role 22; visa 14; pay 10; company 15; eligibility 10; location 10,Cloud / DevOps / Infrastructure role in Singapore; visa route exists (Training Employment Pass or Work Holiday Pass),work authorization unstated - confirm before investing time; compensation not publicly disclosed; not confirmed as a Summer 2027 posting,👀 Investigate Further,Not Applied,,,,,
Tower Research Capital,Quantitative Developer Intern,Singapore,,1,Quantitative Technology,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.tower-research.com/open-positions/?gh_jid=8138524,greenhouse:towerresearchcapital,8138524,2026-08-18,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Training Employment Pass or Work Holiday Pass,,Yes,,,Unclear,Unclear,81,role 21; visa 14; pay 15; company 11; eligibility 10; location 10,Quantitative Technology role in Singapore; visa route exists (Training Employment Pass or Work Holiday Pass); paid,work authorization unstated - confirm before investing time; not confirmed as a Summer 2027 posting,👀 Investigate Further,Not Applied,,,,,
Jump Trading,Campus Quantitative Researcher (Intern),Singapore,,1,Quantitative Technology,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=8027939,greenhouse:jumptrading,8027939,2026-08-03,2026-09-08,Yes,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Training Employment Pass or Work Holiday Pass,,Not publicly disclosed,,,Unclear,Unclear,80,role 21; visa 14; pay 10; company 15; eligibility 10; location 10,Quantitative Technology role in Singapore; visa route exists (Training Employment Pass or Work Holiday Pass),work authorization unstated - confirm before investing time; compensation not publicly disclosed; not confirmed as a Summer 2027 posting,👀 Investigate Further,Not Applied,,,,,
Jump Trading,Campus Systems Engineer (Full-Time),United Kingdom,London,1,Cloud / DevOps / Infrastructure,Internship,,2027-05,2027-08,Closed,,https://www.jumptrading.com/hr/job?gh_jid=7215943,greenhouse:jumptrading,7215943,2025-09-26,2026-09-06,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Government Authorised Exchange (Tier 5 / GAE) covers student internships,,Not publicly disclosed,,,Unclear,Unclear,80,role 22; visa 14; pay 10; company 15; eligibility 10; location 9,Cloud / DevOps / Infrastructure role in United Kingdom; visa route exists (Government Authorised Exchange (Tier 5 / GAE) covers student internships),work authorization unstated - confirm before investing time; compensation not publicly disclosed; not confirmed as a Summer 2027 posting,👀 Investigate Further,Closed,No longer listed on the company board,,,,
Internship List,"Hardware Developer Intern (Summer/May 2027, 12 Months)",Canada,Oakville,1,Software Engineering,Internship,,2027-05,2027-08,Open,,https://job-boards.greenhouse.io/internshiplist2000/jobs/5380567008,greenhouse:internshiplist2000,5380567008,2026-09-02,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Co-op / internship work permit; often needs the placement to be degree-required,,Yes,,,Yes,Unclear,79,role 25; visa 14; pay 15; company 7; eligibility 10; location 8,Software Engineering role in Canada; visa route exists (Co-op / internship work permit); paid; explicitly Summer 2027,work authorization unstated - confirm before investing time,👀 Investigate Further,Not Applied,,,,,
Internship List,"Software Developer Intern, Geotab Vitality (Winter/January 2027, 4 Months)",Canada,Oakville,1,Software Engineering,Internship,4 months,2027-05,2027-08,Open,,https://job-boards.greenhouse.io/internshiplist2000/jobs/5376578008,greenhouse:internshiplist2000,5376578008,2026-09-03,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Co-op / internship work permit; often needs the placement to be degree-required,,Yes,,,Yes,Unclear,79,role 25; visa 14; pay 15; company 7; eligibility 10; location 8,Software Engineering role in Canada; visa route exists (Co-op / internship work permit); paid; explicitly Summer 2027,work authorization unstated - confirm before investing time,👀 Investigate Further,Not Applied,,,,,
Internship List,"Software Developer Intern, MyAdmin (Winter/January 2027, 8+ Months)",Canada,Oakville,1,Software Engineering,Internship,8-12 months,2027-05,2027-08,Open,,https://job-boards.greenhouse.io/internshiplist2000/jobs/5361630008,greenhouse:internshiplist2000,5361630008,2026-09-02,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Co-op / internship work permit; often needs the placement to be degree-required,,Yes,,,Yes,Unclear,79,role 25; visa 14; pay 15; company 7; eligibility 10; location 8,Software Engineering role in Canada; visa route exists (Co-op / internship work permit); paid; explicitly Summer 2027,work authorization unstated - confirm before investing time,👀 Investigate Further,Not Applied,,,,,
Internship List,"Software Developer Intern, MyGeotab (Winter/January 2027, 4-8 Months)",Canada,Oakville,1,Software Engineering,Internship,4-8 months,2027-05,2027-08,Open,,https://job-boards.greenhouse.io/internshiplist2000/jobs/5383412008,greenhouse:internshiplist2000,5383412008,2026-09-04,2026-09-08,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,B,no work-authorization statement found; eligibility must be confirmed,Co-op / internship work permit; often needs the placement to be degree-required,,Yes,,,Yes,Unclear,79,role 25; visa 14; pay 15; company 7; eligibility 10; location 8,Software Engineering role in Canada; visa route exists (Co-op / internship work permit); paid; explicitly Summer 2027,work authorization unstated - confirm before investing time,👀 Investigate Further,Not Applied,,,,,
